I (786298) MPU6050: g_total(raw)=1.014 g (ax=0.025, ay=-0.997, az=-0.180)
I (786398) MPU6050: g_total(raw)=1.016 g (ax=0.016, ay=-0.998, az=-0.189)
I (786498) MPU6050: g_total(raw)=1.013 g (ax=0.027, ay=-0.997, az=-0.178)
I (786598) MPU6050: g_total(raw)=1.012 g (ax=0.025, ay=-0.995, az=-0.182)
I (786698) MPU6050: g_total(raw)=1.011 g (ax=0.024, ay=-0.993, az=-0.189)
I (786798) MPU6050: g_total(raw)=1.027 g (ax=0.013, ay=-1.009, az=-0.190)
I (786898) MPU6050: g_total(raw)=1.008 g (ax=0.019, ay=-0.991, az=-0.180)
I (786998) MPU6050: g_total(raw)=1.009 g (ax=0.023, ay=-0.992, az=-0.184)
I (787098) MPU6050: g_total(raw)=1.006 g (ax=0.021, ay=-0.990, az=-0.177)
I (787198) MPU6050: g_total(raw)=1.016 g (ax=0.016, ay=-1.000, az=-0.178)
I (787298) MPU6050: g_total(raw)=1.008 g (ax=0.020, ay=-0.992, az=-0.181)
I (787398) MPU6050: g_total(raw)=1.007 g (ax=0.012, ay=-0.991, az=-0.174)
I (787498) MPU6050: g_total(raw)=1.001 g (ax=0.015, ay=-0.978, az=-0.210)
I (787598) MPU6050: g_total(raw)=1.020 g (ax=0.026, ay=-1.010, az=-0.137)
I (787698) MPU6050: g_total(raw)=1.006 g (ax=0.025, ay=-0.985, az=-0.205)
I (787798) MPU6050: g_total(raw)=1.013 g (ax=0.018, ay=-1.000, az=-0.158)
I (787898) MPU6050: g_total(raw)=1.011 g (ax=0.021, ay=-0.990, az=-0.202)
I (787998) MPU6050: g_total(raw)=1.010 g (ax=0.016, ay=-0.995, az=-0.175)
I (788098) MPU6050: g_total(raw)=1.006 g (ax=0.017, ay=-0.989, az=-0.182)
I (788198) MPU6050: g_total(raw)=1.012 g (ax=0.016, ay=-0.996, az=-0.179)
I (788298) MPU6050: g_total(raw)=1.026 g (ax=0.043, ay=-1.008, az=-0.188)
I (788398) MPU6050: g_total(raw)=1.013 g (ax=-0.000, ay=-0.996, az=-0.188)
I (788498) MPU6050: g_total(raw)=1.015 g (ax=0.008, ay=-0.995, az=-0.201)
I (788598) MPU6050: g_total(raw)=1.015 g (ax=0.020, ay=-0.997, az=-0.187)
I (788698) MPU6050: g_total(raw)=1.018 g (ax=0.008, ay=-1.003, az=-0.172)
I (788798) MPU6050: g_total(raw)=1.007 g (ax=0.012, ay=-0.986, az=-0.200)
I (788898) MPU6050: g_total(raw)=1.037 g (ax=0.051, ay=-1.023, az=-0.160)
I (788998) MPU6050: g_total(raw)=0.998 g (ax=-0.031, ay=-0.974, az=-0.215)
I (789098) MPU6050: g_total(raw)=1.015 g (ax=0.092, ay=-1.000, az=-0.146)
I (789198) MPU6050: g_total(raw)=1.012 g (ax=-0.032, ay=-0.986, az=-0.226)
I (789298) MPU6050: g_total(raw)=1.018 g (ax=0.028, ay=-1.008, az=-0.143)
I (789398) MPU6050: g_total(raw)=1.005 g (ax=0.041, ay=-0.986, az=-0.192)
I (789498) MPU6050: g_total(raw)=1.008 g (ax=-0.006, ay=-0.988, az=-0.200)
I (789598) MPU6050: g_total(raw)=1.010 g (ax=0.028, ay=-0.994, az=-0.176)
I (789698) MPU6050: g_total(raw)=1.004 g (ax=0.003, ay=-0.986, az=-0.194)
I (789798) MPU6050: g_total(raw)=1.011 g (ax=0.008, ay=-0.997, az=-0.167)
I (789898) MPU6050: g_total(raw)=1.013 g (ax=0.048, ay=-0.994, az=-0.190)
I (789998) MPU6050: g_total(raw)=1.005 g (ax=0.014, ay=-0.987, az=-0.193)
I (790098) MPU6050: g_total(raw)=1.011 g (ax=0.010, ay=-0.997, az=-0.168)
I (790198) MPU6050: g_total(raw)=1.007 g (ax=0.025, ay=-0.989, az=-0.189)
I (790298) MPU6050: g_total(raw)=1.013 g (ax=0.016, ay=-0.996, az=-0.186)
I (790398) MPU6050: g_total(raw)=1.004 g (ax=0.019, ay=-0.985, az=-0.195)
I (790498) MPU6050: g_total(raw)=1.011 g (ax=0.016, ay=-0.993, az=-0.185)
I (790598) MPU6050: g_total(raw)=1.011 g (ax=0.033, ay=-0.992, az=-0.189)
I (790698) MPU6050: g_total(raw)=1.010 g (ax=0.019, ay=-0.993, az=-0.184)
I (790798) MPU6050: g_total(raw)=1.008 g (ax=0.006, ay=-0.990, az=-0.187)
I (790898) MPU6050: g_total(raw)=1.016 g (ax=0.021, ay=-0.999, az=-0.188)
I (790998) MPU6050: g_total(raw)=1.003 g (ax=0.030, ay=-0.988, az=-0.172)
I (791098) MPU6050: g_total(raw)=1.007 g (ax=0.008, ay=-0.989, az=-0.188)
I (791198) MPU6050: g_total(raw)=1.012 g (ax=0.026, ay=-0.996, az=-0.178)
I (791298) MPU6050: g_total(raw)=1.013 g (ax=0.041, ay=-0.995, az=-0.189)
I (791398) MPU6050: g_total(raw)=1.007 g (ax=0.019, ay=-0.989, az=-0.191)
I (791498) MPU6050: g_total(raw)=1.012 g (ax=0.022, ay=-0.995, az=-0.183)
I (791598) MPU6050: g_total(raw)=1.015 g (ax=0.002, ay=-0.996, az=-0.194)
I (791698) MPU6050: g_total(raw)=1.009 g (ax=0.016, ay=-0.991, az=-0.189)
I (791798) MPU6050: g_total(raw)=1.006 g (ax=0.018, ay=-0.989, az=-0.186)
I (791898) MPU6050: g_total(raw)=0.999 g (ax=0.017, ay=-0.985, az=-0.171)
I (791998) MPU6050: g_total(raw)=1.015 g (ax=0.028, ay=-1.000, az=-0.175)
I (792098) MPU6050: g_total(raw)=1.011 g (ax=0.011, ay=-0.994, az=-0.186)
I (792198) MPU6050: g_total(raw)=1.018 g (ax=0.007, ay=-1.000, az=-0.188)
I (792298) MPU6050: g_total(raw)=1.011 g (ax=0.018, ay=-0.996, az=-0.175)
I (792398) MPU6050: g_total(raw)=1.019 g (ax=0.031, ay=-0.994, az=-0.221)
I (792498) MPU6050: g_total(raw)=1.011 g (ax=0.020, ay=-0.988, az=-0.214)
I (792598) MPU6050: g_total(raw)=1.012 g (ax=-0.016, ay=-0.995, az=-0.188)
I (792698) MPU6050: g_total(raw)=1.012 g (ax=0.015, ay=-0.996, az=-0.182)
