1,0.011,0.037,0.085
12,0.009,0.027,0.065
22,0.016,0.027,0.050
32,0.013,0.026,0.059
42,0.018,0.032,0.064
52,0.018,0.020,0.052
62,0.019,0.031,0.059
72,0.018,0.023,0.063
82,0.012,0.030,0.068
92,0.011,0.026,0.066
102,0.012,0.026,0.067
112,0.023,0.031,0.057
122,0.017,0.035,0.068
132,0.022,0.031,0.060
142,0.021,0.027,0.067
152,0.022,0.037,0.069
164,0.024,0.034,0.068
172,0.026,0.032,0.070
182,0.023,0.038,0.069
192,0.027,0.034,0.067
212,0.038,0.036,0.072
222,0.030,0.032,0.072
232,0.040,0.032,0.085
242,0.040,0.040,0.076
252,0.041,0.037,0.077
262,0.045,0.042,0.085
272,0.044,0.037,0.078
282,0.053,0.038,0.079
302,0.047,0.043,0.096
312,0.058,0.031,0.093
323,0.061,0.042,0.083
332,0.062,0.039,0.085
342,0.069,0.035,0.107
352,0.070,0.033,0.098
362,0.074,0.031,0.108
372,0.075,0.036,0.097
392,0.094,0.032,0.120
402,0.092,0.035,0.120
412,0.095,0.033,0.131
422,0.091,0.041,0.130
432,0.087,0.041,0.129
442,0.086,0.047,0.135
452,0.087,0.053,0.131
462,0.088,0.055,0.139
482,0.078,0.068,0.142
492,0.078,0.069,0.147
502,0.075,0.069,0.155
512,0.085,0.073,0.152
522,0.085,0.074,0.156
532,0.096,0.072,0.148
542,0.100,0.074,0.160
553,0.099,0.063,0.162
572,0.113,0.072,0.175
582,0.117,0.076,0.183
592,0.121,0.069,0.187
604,0.120,0.072,0.191
612,0.129,0.071,0.204
622,0.129,0.068,0.195
632,0.133,0.069,0.213
642,0.126,0.075,0.206
662,0.102,0.087,0.229
672,0.090,0.093,0.232
682,0.080,0.105,0.245
692,0.073,0.106,0.248
702,0.079,0.104,0.245
712,0.084,0.105,0.252
722,0.082,0.107,0.251
732,0.083,0.110,0.266
752,0.073,0.119,0.255
762,0.077,0.135,0.270
772,0.080,0.141,0.267
782,0.085,0.154,0.276
792,0.083,0.150,0.282
803,0.089,0.147,0.285
812,0.088,0.147,0.295
822,0.069,0.146,0.305
842,0.040,0.165,0.315
852,0.037,0.167,0.329
862,0.043,0.178,0.307
872,0.062,0.184,0.306
882,0.060,0.188,0.316
892,0.046,0.200,0.309
902,0.041,0.194,0.332
912,0.029,0.185,0.347
932,-0.028,0.196,0.357
942,-0.033,0.216,0.362
